2025-03-19 00:17:52 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:17:52 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:16 [INFO]: Loaded 1375 trains from trains.json
2025-03-19 00:18:16 [INFO]: Starting initial fetch and caching of all trains from CP API with 1-second delay between requests
2025-03-19 00:18:17 [INFO]: Cached train 16400 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20220s
2025-03-19 00:18:18 [INFO]: Cached train 16402 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 22020s
2025-03-19 00:18:19 [INFO]: Cached train 16404 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 23820s
2025-03-19 00:18:20 [INFO]: Cached train 16406 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 25620s
2025-03-19 00:18:21 [INFO]: Cached train 16408 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 27420s
2025-03-19 00:18:22 [INFO]: Cached train 16410 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 29220s
2025-03-19 00:18:23 [INFO]: Cached train 16412 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31020s
2025-03-19 00:18:24 [INFO]: Cached train 16414 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 32820s
2025-03-19 00:18:25 [INFO]: Cached train 16416 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 34620s
2025-03-19 00:18:26 [INFO]: Cached train 16418 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 36420s
2025-03-19 00:18:27 [INFO]: Cached train 16420 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 38220s
2025-03-19 00:18:28 [INFO]: Cached train 16422 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.98791, -8.966062), TTL: 40020s
2025-03-19 00:18:29 [INFO]: Cached train 16424 - Status: COMPLETED, Delay: 7 min, Coordinates: (38.9857599, -8.9678094), TTL: 41820s
2025-03-19 00:18:30 [INFO]: Cached train 16426 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 43620s
2025-03-19 00:18:31 [INFO]: Cached train 16428 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 45420s
2025-03-19 00:18:33 [INFO]: Cached train 16430 - Status: COMPLETED, Delay: 3 min, Coordinates: (38.98791, -8.966062), TTL: 47220s
2025-03-19 00:18:34 [INFO]: Cached train 16432 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.9862572, -8.9671724), TTL: 49020s
2025-03-19 00:18:35 [INFO]: Cached train 16434 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791, -8.966062), TTL: 50820s
2025-03-19 00:18:36 [INFO]: Cached train 16436 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791244, -8.966061218), TTL: 52620s
2025-03-19 00:18:37 [INFO]: Cached train 16438 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791244, -8.966061218), TTL: 54420s
2025-03-19 00:18:38 [INFO]: Cached train 16440 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.9856283, -8.9677115), TTL: 56220s
2025-03-19 00:18:39 [INFO]: Cached train 16442 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791, -8.966062), TTL: 58020s
2025-03-19 00:18:40 [INFO]: Cached train 16444 - Status: COMPLETED, Delay: 8 min, Coordinates: (38.9879, -8.9661), TTL: 59820s
2025-03-19 00:18:41 [INFO]: Cached train 16446 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 61620s
2025-03-19 00:18:42 [INFO]: Cached train 16448 - Status: COMPLETED, Delay: 10 min, Coordinates: (38.98803720643709, -8.96623042230807), TTL: 63420s
2025-03-19 00:18:43 [INFO]: Cached train 16450 - Status: COMPLETED, Delay: 9 min, Coordinates: (38.98791244, -8.966061218), TTL: 65220s
2025-03-19 00:18:44 [INFO]: Cached train 16452 - Status: COMPLETED, Delay: 5 min, Coordinates: (38.98791244, -8.966061218), TTL: 67020s
2025-03-19 00:18:45 [INFO]: Cached train 16454 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.9874, -8.9665), TTL: 68820s
2025-03-19 00:18:46 [INFO]: Cached train 16456 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.98791244, -8.966061218), TTL: 70620s
2025-03-19 00:18:47 [INFO]: Cached train 16458 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 72420s
2025-03-19 00:18:48 [INFO]: Cached train 16460 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 74220s
2025-03-19 00:18:50 [INFO]: Cached train 16462 - Status: COMPLETED, Delay: 1 min, Coordinates: (38.98791244, -8.966061218), TTL: 76020s
2025-03-19 00:18:51 [INFO]: Cached train 16464 - Status: COMPLETED, Delay: 4 min, Coordinates: (38.98791, -8.966062), TTL: 79620s
2025-03-19 00:18:52 [INFO]: Cached train 16466 - Status: IN_TRANSIT, Delay: 1 min, Coordinates: (38.9825213, -8.9701181), TTL: 5s
2025-03-19 00:18:53 [INFO]: Cached train 16500 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 16620s
2025-03-19 00:18:54 [INFO]: Cached train 16502 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 21000s
2025-03-19 00:18:55 [INFO]: Cached train 16504 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 24600s
2025-03-19 00:18:56 [INFO]: Cached train 120 - Status: COMPLETED, Delay: -1 min, Coordinates: (38.71584, -9.120748), TTL: 33660s
2025-03-19 00:18:57 [INFO]: Cached train 16506 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 26400s
2025-03-19 00:18:58 [INFO]: Cached train 121 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 27660s
2025-03-19 00:18:59 [INFO]: Cached train 16508 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 28200s
2025-03-19 00:19:00 [INFO]: Cached train 123 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31200s
2025-03-19 00:19:01 [INFO]: Cached train 16510 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 29940s
2025-03-19 00:19:02 [INFO]: Cached train 122 - Status: COMPLETED, Delay: -1 min, Coordinates: (38.71584, -9.120748), TTL: 40800s
2025-03-19 00:19:03 [INFO]: Cached train 16512 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 31740s
2025-03-19 00:19:04 [INFO]: Cached train 128 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 26400s
2025-03-19 00:19:05 [INFO]: Cached train 16514 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 33540s
2025-03-19 00:19:06 [INFO]: Cached train 130 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 20520s
2025-03-19 00:19:07 [INFO]: Cached train 16516 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 35340s
2025-03-19 00:19:09 [INFO]: Cached train 131 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 24000s
2025-03-19 00:19:10 [INFO]: Processed 50 of 1375 trains
2025-03-19 00:19:10 [INFO]: Cached train 16518 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 37140s
2025-03-19 00:19:11 [INFO]: Cached train 132 - Status: COMPLETED, Delay: 29 min, Coordinates: (38.71696299999999, -9.119572), TTL: 45720s
2025-03-19 00:19:12 [INFO]: Cached train 16520 - Status: N/A, Delay: N/A min, Coordinates: (N/A, N/A), TTL: 38940s
2025-03-19 00:19:13 [INFO]: Cached train 133 - Status: COMPLETED, Delay: 12 min, Coordinates: (41.548595, -8.434369), TTL: 49200s
2025-03-19 00:19:14 [INFO]: Cached train 16522 - Status: COMPLETED, Delay: 2 min, Coordinates: (38.70743461, -9.17323799), TTL: 40740s
